Timestamp,Model,Optimizer,Batch_Size,Layer_Config,Dropout,Fine_Tune_At,Use_CBAM,SE_Reduction_Ratio,Spatial_Kernel,LR_Phase_1,Epochs_P1,LR_Phase_2,Epochs_P2,Label_Smoothing,Use_Class_Weights,Accuracy,Val_Acc_P1,Val_Acc_P2,Avg_Confidence,Min_Confidence,Std_Confidence,Confusion_Matrix,Class_Kelas 1_Prec,Class_Kelas 1_Rec,Class_Kelas 1_F1,Class_Kelas 2_Prec,Class_Kelas 2_Rec,Class_Kelas 2_F1,Class_Kelas 3_Prec,Class_Kelas 3_Rec,Class_Kelas 3_F1,Class_Kelas 4_Prec,Class_Kelas 4_Rec,Class_Kelas 4_F1
2026-02-03 16:04:33,ResNet18 + CBAM (True),Adam,32,"[256, 128]",0.5,40,True,16,7,0.001,40,0.0001,30,0,True,0.4167,0.4198,0.3206,0.2525,0.2525,0.0,"[[0, 28, 0, 0], [0, 55, 0, 0], [0, 35, 0, 0], [0, 14, 0, 0]]",0.0,0.0,0.0,0.4167,1.0,0.5882,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-05 11:15:16,ResNet18 + CBAM (True),Adam,32,"[256, 128, 64]",0.5,30,True,16,7,0.0005,40,0.0005,50,0,True,0.5606,0.1069,0.542,0.875,0.5205,0.1213,"[[24, 4, 0, 0], [17, 30, 8, 0], [2, 14, 15, 4], [0, 1, 8, 5]]",0.5581,0.8571,0.6761,0.6122,0.5455,0.5769,0.4839,0.4286,0.4545,0.5556,0.3571,0.4348
