Timestamp,Optimizer,Batch_Size,Dense_Units,Dropout,Fine_Tune_At,LR_Phase_1,Epochs_P1,LR_Phase_2,Epochs_P2,Loss_Type,Label_Smoothing,Focal_Gamma,Accuracy,Avg_Confidence,Confusion_Matrix,Kelas 1)_Precision,Kelas 1)_Recall,Kelas 1)_F1,Kelas 2)_Precision,Kelas 2)_Recall,Kelas 2)_F1,Kelas 3)_Precision,Kelas 3)_Recall,Kelas 3)_F1,Kelas 4)_Precision,Kelas 4)_Recall,Kelas 4)_F1
2026-01-29 23:00:26,Adam,32,256,0.5,200,0.001,20,1e-05,30,crossentropy,0.1,N/A,0.3106,0.4987,"[[8, 2, 18, 0], [3, 2, 46, 4], [0, 0, 26, 9], [1, 0, 8, 5]]",0.6667,0.2857,0.4,0.5,0.0364,0.0678,0.2653,0.7429,0.391,0.2778,0.3571,0.3125
2026-01-30 00:01:46,Adam,32,256,0.5,200,0.001,20,1e-05,30,crossentropy,0.1,N/A,0.3106,0.4987,"[[8, 2, 18, 0], [3, 2, 46, 4], [0, 0, 26, 9], [1, 0, 8, 5]]",0.6667,0.2857,0.4,0.5,0.0364,0.0678,0.2653,0.7429,0.391,0.2778,0.3571,0.3125
2026-01-30 12:27:03,Adam,32,256,0.5,170,5e-05,20,1e-05,30,crossentropy,0.1,N/A,0.2121,0.44,"[[0, 9, 10, 9], [0, 4, 16, 35], [0, 0, 12, 23], [0, 0, 2, 12]]",0.0,0.0,0.0,0.3077,0.0727,0.1176,0.3,0.3429,0.32,0.1519,0.8571,0.2581
