Trial_No,Timestamp,Use_Corong,Focal_Loss_Gamma,Learning_Rate,Batch_Size,Dense_Units,Dropout_Rate,Optimizer,Avg_Accuracy
0,2026-06-17 14:34:33,True,1,0.0005,32,256,0.2,RMSprop,50.55
1,2026-06-17 15:14:25,True,0,5e-05,32,256,0.3,RMSprop,44.39
2,2026-06-17 15:39:24,False,1,0.0001,32,128,0.4,Adam,31.72
3,2026-06-17 16:04:57,False,0,0.0001,16,256,0.4,Adam,40.96
4,2026-06-17 16:34:15,True,2,0.0005,16,256,0.3,RMSprop,52.42
5,2026-06-17 16:59:17,False,0,0.0005,16,128,0.2,Adam,39.96
6,2026-06-17 17:27:03,False,0,5e-05,32,128,0.3,Adam,32.72
7,2026-06-17 17:50:02,False,2,0.0005,16,128,0.4,Adam,36.13
8,2026-06-17 18:17:22,False,0,0.0005,16,128,0.4,Adam,39.98
9,2026-06-17 18:59:14,True,0,0.0001,32,128,0.4,Adam,44.16
10,2026-06-17 19:28:28,True,2,0.0005,16,256,0.3,RMSprop,55.51
11,2026-06-17 19:57:21,True,2,0.0005,16,256,0.3,RMSprop,55.17
12,2026-06-17 20:26:37,True,2,0.0005,16,256,0.3,RMSprop,54.63
13,2026-06-17 20:56:34,True,2,0.0005,16,256,0.3,RMSprop,52.2
14,2026-06-17 21:28:42,True,2,0.0005,16,256,0.3,RMSprop,52.75
15,2026-06-17 21:55:03,True,2,5e-05,16,256,0.3,RMSprop,44.28
16,2026-06-17 22:25:02,True,2,0.0005,16,256,0.3,RMSprop,55.29
17,2026-06-17 22:55:02,True,2,0.0005,16,256,0.2,RMSprop,51.21
18,2026-06-17 23:23:18,True,1,0.0001,16,256,0.3,RMSprop,45.15
19,2026-06-17 23:53:39,True,2,5e-05,16,256,0.3,RMSprop,42.72
0,2026-06-18 09:03:44,True,0,0.0005,32,128,0.3,Adam,51.21
1,2026-06-18 09:28:53,False,2,0.0001,32,256,0.3,RMSprop,38.09
2,2026-06-18 09:53:09,False,2,0.0001,16,256,0.3,RMSprop,42.07
3,2026-06-18 10:20:02,False,0,0.0005,16,128,0.3,Adam,46.47
4,2026-06-18 10:46:22,False,2,0.0005,16,128,0.4,Adam,40.74
5,2026-06-18 11:14:34,True,0,0.0001,16,128,0.2,RMSprop,44.06
6,2026-06-18 11:55:26,True,0,0.0005,32,256,0.4,RMSprop,50.11
7,2026-06-18 12:23:14,False,0,0.0005,16,256,0.2,Adam,40.97
8,2026-06-18 12:54:30,True,2,0.0005,16,256,0.4,Adam,51.87
9,2026-06-18 13:17:08,False,1,5e-05,32,128,0.2,RMSprop,23.89
10,2026-06-18 13:44:28,True,1,5e-05,16,256,0.4,Adam,45.26
11,2026-06-18 14:28:42,True,2,0.0005,32,128,0.3,Adam,51.65
12,2026-06-18 15:11:26,True,2,0.0005,32,128,0.4,Adam,50.55
13,2026-06-18 15:54:58,True,2,0.0005,32,256,0.3,Adam,50.22
14,2026-06-18 16:26:23,True,2,0.0005,16,256,0.4,Adam,53.19
15,2026-06-18 16:54:07,True,2,5e-05,16,256,0.4,Adam,40.63
16,2026-06-18 17:24:43,True,2,0.0005,16,256,0.4,Adam,51.43
17,2026-06-18 17:54:57,True,1,0.0005,16,256,0.4,Adam,53.08
18,2026-06-18 18:24:55,True,1,0.0001,16,256,0.4,Adam,47.58
19,2026-06-18 18:52:24,True,1,5e-05,16,256,0.4,Adam,38.88
0,2026-06-22 11:41:49,False,1,0.0001,32,256,0.2,RMSprop,27.53
1,2026-06-22 12:06:38,False,0,0.0005,16,128,0.3,RMSprop,45.59
2,2026-06-22 12:47:52,False,0,5e-05,32,128,0.4,RMSprop,33.48
3,2026-06-22 13:37:42,False,2,0.0001,16,256,0.3,RMSprop,37.34
4,2026-06-22 14:19:43,False,0,5e-05,32,128,0.4,RMSprop,35.81
5,2026-06-22 14:51:00,True,0,0.0005,16,256,0.3,Adam,50.88
6,2026-06-22 15:18:19,True,1,5e-05,16,128,0.4,Adam,40.64
7,2026-06-22 15:56:49,True,1,0.0001,32,256,0.3,RMSprop,44.38
8,2026-06-22 16:24:44,True,1,0.0005,16,256,0.4,RMSprop,54.73
9,2026-06-22 17:22:55,True,0,0.0001,32,128,0.3,RMSprop,44.17
10,2026-06-22 18:30:25,True,2,0.0005,16,256,0.2,Adam,50.33
11,2026-06-22 19:00:23,True,1,0.0005,16,256,0.4,Adam,53.84
12,2026-06-22 19:53:42,True,1,0.0005,16,256,0.4,Adam,54.18
13,2026-06-22 20:55:11,True,1,0.0005,16,256,0.4,Adam,50.55
14,2026-06-22 21:37:05,True,1,0.0005,16,256,0.4,Adam,51.66
15,2026-06-22 22:42:40,True,1,0.0005,16,256,0.4,Adam,53.2
16,2026-06-22 23:28:02,True,1,0.0005,16,256,0.4,Adam,53.52
17,2026-06-23 00:28:08,True,2,0.0005,16,256,0.2,RMSprop,55.07
18,2026-06-23 01:29:31,True,2,0.0005,16,256,0.2,RMSprop,52.42
19,2026-06-23 02:01:18,True,2,5e-05,16,256,0.2,RMSprop,41.85
