Trial_No,Timestamp,Use_Corong,Focal_Loss_Gamma,Learning_Rate,Batch_Size,Dense_Units,Dropout_Rate,Optimizer,Avg_Accuracy
0,2026-06-25 19:39:45,False,0,0.0001,32,256,0.2,Adam,35.37
1,2026-06-25 20:24:05,False,2,0.0001,16,256,0.3,Adam,29.96
2,2026-06-25 20:51:13,False,2,5e-05,32,256,0.2,RMSprop,22.58
3,2026-06-25 21:56:03,True,2,5e-05,32,256,0.4,Adam,37.21
4,2026-06-25 23:10:56,True,1,0.0001,32,128,0.2,Adam,45.38
5,2026-06-25 23:47:28,False,2,0.0005,32,256,0.2,Adam,31.61
6,2026-06-26 01:02:29,True,0,0.0001,32,256,0.4,Adam,48.57
7,2026-06-26 01:46:28,False,0,0.0005,32,128,0.3,RMSprop,44.39
8,2026-06-26 02:07:54,False,1,0.0001,16,128,0.2,RMSprop,27.53
9,2026-06-26 02:36:47,True,2,0.0001,16,128,0.3,Adam,43.94
10,2026-06-26 03:05:31,True,0,5e-05,16,256,0.4,RMSprop,46.91
11,2026-06-26 03:33:36,True,0,5e-05,16,256,0.4,RMSprop,45.81
12,2026-06-26 04:02:07,True,0,5e-05,16,256,0.4,RMSprop,45.27
13,2026-06-26 05:07:11,True,0,5e-05,16,256,0.4,RMSprop,44.82
14,2026-06-26 06:11:32,True,0,0.0005,32,256,0.4,Adam,50.55
15,2026-06-26 06:52:06,True,0,0.0005,32,256,0.4,Adam,53.08
16,2026-06-26 07:29:34,True,0,0.0005,32,256,0.4,Adam,50.0
17,2026-06-26 08:10:05,True,1,0.0005,32,256,0.4,Adam,50.33
18,2026-06-26 08:50:45,True,0,0.0005,32,128,0.4,Adam,53.53
19,2026-06-26 09:30:21,True,0,0.0005,32,128,0.4,Adam,51.44
