Trial_No,Timestamp,Use_Corong,Focal_Loss_Gamma,Learning_Rate,Batch_Size,Dense_Units,Dropout_Rate,Optimizer,Avg_Accuracy
0,2026-06-05 11:49:40,True,2,0.0001,16,256,0.2,RMSprop,45.05
1,2026-06-05 12:49:42,True,2,0.0001,16,128,0.2,RMSprop,42.4
2,2026-06-05 13:15:19,False,1,0.0005,16,256,0.3,RMSprop,43.16
3,2026-06-05 14:09:11,True,1,0.0005,16,256,0.2,Adam,48.01
4,2026-06-05 15:16:12,True,2,5e-05,32,128,0.2,RMSprop,39.33
5,2026-06-05 15:59:25,True,1,0.0001,32,256,0.3,RMSprop,45.92
6,2026-06-05 17:19:24,True,0,0.0005,32,128,0.3,RMSprop,50.22
7,2026-06-05 18:24:00,True,1,5e-05,16,128,0.4,Adam,33.82
8,2026-06-05 19:42:54,True,2,0.0001,32,128,0.3,Adam,43.06
9,2026-06-05 20:06:28,False,0,0.0001,16,256,0.3,RMSprop,45.03
10,2026-06-05 20:42:42,False,0,0.0005,32,128,0.4,Adam,48.46
11,2026-06-05 21:19:57,False,0,0.0005,32,128,0.4,Adam,48.34
12,2026-06-05 22:30:08,False,0,0.0005,32,128,0.4,Adam,42.19
13,2026-06-05 23:49:42,False,0,0.0005,32,128,0.4,Adam,45.26
14,2026-06-06 01:07:20,False,0,0.0005,32,128,0.3,RMSprop,46.02
15,2026-06-06 01:46:57,False,0,0.0005,32,128,0.4,Adam,47.35
16,2026-06-06 02:23:14,False,0,0.0005,32,128,0.3,Adam,45.58
17,2026-06-06 03:00:11,True,0,5e-05,32,128,0.4,RMSprop,41.4
18,2026-06-06 03:32:42,False,0,0.0005,32,128,0.3,Adam,39.77
19,2026-06-06 04:10:21,True,0,0.0005,32,128,0.4,RMSprop,50.99
